7.4854		1023.03
1.923		207.431
8.9481		1212.62
6.6431		909.921
4.3545		584.838
0.31315		0.506087
2.3857		281.358
4.8004		650.414
8.6636		1176.46
9.9831		1342.01
7.8299		1068.5
8.6199		1170.83
9.3357		1261.56
1.6295		160.899
6.2888		861.405
9.9899		1342.87
1.2081		95.9288
9.9817		1341.88
7.9801		1088.12
1.413		127.012
1.5953		155.388
0.57318		15.6109
3.8331		506.729
7.1433		977.465
9.9944		1343.36
6.1248		838.726
9.9871		1342.5
7.0124		959.876
0.9049		53.2002
8.9453		1212.24
6.9541		952.065
9.9711		1340.53
7.6954		1050.77
1.2889		108.066
5.9719		817.448
9.9951		1343.49
1.6024		156.489
0.79277		39.0419
0.71234		29.6261
2.8369		352.818
1.5771		152.559
3.0084		379.655
9.9864		1342.38
2.232		256.792
1.0108		67.5452
0.36985		2.18498
4.5669		616.301
3.2781		421.694
0.99138		64.7795
0.046341		0
9.6336		1298.79
2.0374		225.636
0.55951		14.4686
0.32674		0.815257
9.9915		1343.12
2.2518		259.985
4.1949		561.175
7.0742		968.21
1.7629		181.952
9.9963		1343.61
1.7065		172.911
8.5969		1167.89
6.439		882.035
6.1831		846.761
5.7094		780.598
1.2497		102.195
9.9845		1342.25
1.909		205.198
7.4485		1018.26
7.0755		968.478
5.651		772.424
7.7863		1062.73
9.9854		1342.25
9.4372		1274.21
0.073861		0
1.6165		158.85
2.1438		242.734
9.9832		1342.01
1.0468		72.5849
8.6416		1173.65
9.9943		1343.36
0.52003		11.1659
4.2019		562.22
9.9845		1342.25
6.4715		886.422
4.8288		654.638
1.2405		100.697
9.9923		1343.12
7.5558		1032.43
0.88563		50.7184
3.697		486.066
2.3019		267.965
1.0605		74.5648
3.7088		487.894
6.973		954.625
9.9925		1343.12
9.9878		1342.62
8.0168		1092.94
9.9957		1343.61
9.9925		1343.12
8.046		1096.72
6.936		949.637
3.0282		382.783
6.1065		836.09
2.1598		245.291
9.9444		1337.2
